year_region,CF_PV,perc_PV,CF_WT,perc_WT
ITH2-2005,0.148701973,0.75,0.16989726,0.24
ITH2-2006,0.149920453,0.76,0.197180479,0.39
ITH2-2007,0.155295692,0.79,0.211084589,0.46
ITH2-2008,0.138961447,0.69,0.206123065,0.43
ITH2-2009,0.149396522,0.76,0.189900457,0.35
ITH2-2010,0.142000658,0.71,0.191127968,0.35
ITH2-2011,0.162000498,0.83,0.146445091,0.14
ITH2-2012,0.148444059,0.75,0.209043488,0.45
ITH2-2013,0.132265791,0.63,0.173725228,0.26
ITH2-2014,0.134791483,0.65,0.177752968,0.28
ITH2-2015,0.155332357,0.79,0.187314041,0.33
ITH3-1986,0.156099997,0.80,0.21415274,0.47
ITH3-1987,0.149449461,0.76,0.177663014,0.28
ITH3-1988,0.153242045,0.78,0.208964481,0.44
ITH3-1989,0.153690312,0.78,0.181863813,0.30
ITH3-1990,0.158151505,0.81,0.199727511,0.40
ITH3-1991,0.156293505,0.80,0.168918037,0.24
ITH3-1992,0.152487583,0.78,0.193534039,0.37
ITH3-1993,0.15679486,0.80,0.202551826,0.41
ITH3-1994,0.15047609,0.77,0.215034475,0.48
ITH3-1995,0.151944935,0.78,0.225297603,0.53
ITH3-1996,0.144023781,0.72,0.184266621,0.32
ITH3-1997,0.162288751,0.83,0.18804258,0.34
ITH3-1998,0.162279406,0.83,0.227945091,0.54
ITH3-1999,0.149835267,0.76,0.236089041,0.58
ITH3-2000,0.15466529,0.79,0.222154485,0.51
ITH3-2001,0.15524635,0.79,0.21609395,0.49
ITH3-2002,0.148346018,0.75,0.204413584,0.42
ITH3-2003,0.170086355,0.87,0.181237785,0.30
ITH3-2004,0.151478077,0.77,0.196773566,0.38
ITH3-2005,0.157230486,0.81,0.16989726,0.24
ITH3-2006,0.157811631,0.81,0.197180479,0.39
ITH3-2007,0.164434715,0.84,0.211084589,0.46
ITH3-2008,0.15001088,0.76,0.206123065,0.43
ITH3-2009,0.157441755,0.81,0.189900457,0.35
ITH3-2010,0.149211606,0.76,0.191127968,0.35
ITH3-2011,0.171280661,0.88,0.146445091,0.14
ITH3-2012,0.162699018,0.84,0.209043488,0.45
ITH3-2013,0.143539695,0.72,0.173725228,0.26
ITH3-2014,0.146696597,0.74,0.177752968,0.28
ITH3-2015,0.163165231,0.84,0.187314041,0.33
ITH4-1986,0.154035825,0.79,0.21415274,0.47
ITH4-1987,0.144893669,0.73,0.177663014,0.28
ITH4-1988,0.146336234,0.74,0.208964481,0.44
ITH4-1989,0.150819438,0.77,0.181863813,0.30
ITH4-1990,0.152151751,0.78,0.199727511,0.40
ITH4-1991,0.151463704,0.77,0.168918037,0.24
ITH4-1992,0.149306754,0.76,0.193534039,0.37
ITH4-1993,0.149052522,0.76,0.202551826,0.41
ITH4-1994,0.145761281,0.73,0.215034475,0.48
ITH4-1995,0.144759774,0.73,0.225297603,0.53
ITH4-1996,0.138471208,0.68,0.184266621,0.32
ITH4-1997,0.15633771,0.80,0.18804258,0.34
ITH4-1998,0.153777321,0.78,0.227945091,0.54
ITH4-1999,0.144363876,0.72,0.236089041,0.58
ITH4-2000,0.147257881,0.74,0.222154485,0.51
ITH4-2001,0.147215433,0.74,0.21609395,0.49
ITH4-2002,0.1415758,0.71,0.204413584,0.42
ITH4-2003,0.165583354,0.85,0.181237785,0.30
ITH4-2004,0.146089385,0.74,0.196773566,0.38
ITH4-2005,0.151184977,0.77,0.16989726,0.24
ITH4-2006,0.150373411,0.76,0.197180479,0.39
ITH4-2007,0.158824783,0.82,0.211084589,0.46
ITH4-2008,0.141042846,0.70,0.206123065,0.43
ITH4-2009,0.150912874,0.77,0.189900457,0.35
ITH4-2010,0.142207316,0.71,0.191127968,0.35
ITH4-2011,0.166970962,0.86,0.146445091,0.14
ITH4-2012,0.15729722,0.81,0.209043488,0.45
ITH4-2013,0.138231703,0.68,0.173725228,0.26
ITH4-2014,0.136217828,0.66,0.177752968,0.28
ITH4-2015,0.157842146,0.81,0.187314041,0.33
ITH5-1986,0.150580986,0.77,0.136181963,0.10
ITH5-1987,0.147578852,0.75,0.14011895,0.12
ITH5-1988,0.151789131,0.77,0.131056922,0.08
ITH5-1989,0.155647221,0.79,0.111465753,0.03
ITH5-1990,0.157950962,0.81,0.1252871,0.06
ITH5-1991,0.154599237,0.79,0.125917922,0.06
ITH5-1992,0.153705907,0.78,0.139261612,0.11
ITH5-1993,0.156164877,0.80,0.145270205,0.14
ITH5-1994,0.151870816,0.78,0.134274087,0.09
ITH5-1995,0.153692285,0.78,0.134095205,0.09
ITH5-1996,0.143371165,0.72,0.130000342,0.08
ITH5-1997,0.16349643,0.84,0.140338927,0.12
ITH5-1998,0.16312892,0.84,0.143048059,0.13
ITH5-1999,0.152936694,0.78,0.150652055,0.16
ITH5-2000,0.156483833,0.80,0.135837204,0.10
ITH5-2001,0.154414177,0.79,0.145824087,0.14
ITH5-2002,0.148255795,0.75,0.126502854,0.06
ITH5-2003,0.163134326,0.84,0.139442694,0.11
ITH5-2004,0.152517445,0.78,0.123283128,0.05
